attendance_id,student_id,date,day_of_week,class,section,status,entry_time,exit_time,capture_method,rfid_tag,is_anomaly
ATT0003392,STU00705,2025-07-04,Friday,11,A,Late,08:04,15:14,Face Recognition,,0
ATT0003393,STU00706,2025-07-04,Friday,8,B,Present,07:43,14:54,Face Recognition,,0
ATT0003394,STU00707,2025-07-04,Friday,6,B,Present,07:24,15:13,Biometric,,0
ATT0003395,STU00708,2025-07-04,Friday,11,A,Present,07:16,13:42,Biometric,,0
ATT0003396,STU00709,2025-07-04,Friday,3,C,Present,07:45,13:01,Biometric,,0
ATT0003397,STU00710,2025-07-04,Friday,3,B,Present,07:36,15:37,Biometric,,0
ATT0003398,STU00711,2025-07-04,Friday,5,C,Late,08:14,15:20,Biometric,,0
ATT0003399,STU00712,2025-07-04,Friday,6,D,Present,07:12,15:49,Face Recognition,,0
ATT0003400,STU00713,2025-07-04,Friday,5,A,Present,07:16,14:59,Biometric,,0
ATT0003401,STU00714,2025-07-04,Friday,2,A,Present,07:45,13:30,Biometric,,0
ATT0003402,STU00715,2025-07-04,Friday,3,B,Present,07:31,14:34,Biometric,,0
ATT0003403,STU00716,2025-07-04,Friday,8,D,Late,08:01,15:55,RFID,4906C564ECD2,0
ATT0003404,STU00719,2025-07-04,Friday,8,B,Present,07:43,14:47,Biometric,,0
ATT0003405,STU00720,2025-07-04,Friday,9,B,Present,07:41,13:53,RFID,FAABFDE0D355,0
ATT0003406,STU00721,2025-07-04,Friday,2,B,Present,07:11,13:05,Biometric,,0
ATT0003407,STU00722,2025-07-04,Friday,9,C,Present,07:23,15:42,Face Recognition,,0
ATT0003408,STU00723,2025-07-04,Friday,1,A,Present,07:19,15:08,RFID,88571EDC0E7F,0
ATT0003409,STU00724,2025-07-04,Friday,8,A,Authorized Leave,,,,,0
ATT0003410,STU00725,2025-07-04,Friday,3,C,Present,07:36,15:44,Biometric,,0
ATT0003411,STU00726,2025-07-04,Friday,3,C,Late,08:10,15:41,Biometric,,0
ATT0003412,STU00728,2025-07-04,Friday,8,A,Present,07:23,13:17,Biometric,,0
ATT0003413,STU00729,2025-07-04,Friday,4,A,Present,07:28,15:02,RFID,CD206A98FF4F,0
ATT0003414,STU00730,2025-07-04,Friday,11,D,Absent,,,,,0
ATT0003415,STU00731,2025-07-04,Friday,9,C,Present,07:12,15:28,Face Recognition,,0
ATT0003416,STU00732,2025-07-04,Friday,1,C,Late,08:30,14:51,Face Recognition,,0
ATT0003417,STU00733,2025-07-04,Friday,8,B,Present,07:20,15:30,RFID,86DACEA0B5F4,0
ATT0003418,STU00734,2025-07-04,Friday,9,D,Present,07:25,13:43,Biometric,,0
ATT0003419,STU00735,2025-07-04,Friday,6,D,Present,07:18,15:01,Face Recognition,,0
ATT0003420,STU00736,2025-07-04,Friday,7,B,Late,08:22,14:15,RFID,5AD432E7CDA7,0
ATT0003421,STU00737,2025-07-04,Friday,4,C,Present,07:15,14:56,Biometric,,0
ATT0003422,STU00738,2025-07-04,Friday,7,C,Present,07:19,13:20,Biometric,,0
ATT0003423,STU00739,2025-07-04,Friday,5,B,Present,07:32,13:49,Face Recognition,,0
ATT0003424,STU00740,2025-07-04,Friday,8,A,Medical Leave,,,,,0
ATT0003425,STU00741,2025-07-04,Friday,6,B,Present,07:42,14:22,Face Recognition,,0
ATT0003426,STU00743,2025-07-04,Friday,7,C,Present,07:32,14:32,RFID,7D94E33C9C20,0
ATT0003427,STU00744,2025-07-04,Friday,8,D,Present,07:44,15:27,Biometric,,0
ATT0003428,STU00745,2025-07-04,Friday,5,B,Present,07:42,13:42,RFID,0D3F96AEA406,0
ATT0003429,STU00746,2025-07-04,Friday,10,C,Present,07:42,13:02,RFID,276E121086FE,0
ATT0003430,STU00748,2025-07-04,Friday,10,A,Present,07:32,15:16,RFID,F4E0BA49637A,0
ATT0003431,STU00749,2025-07-04,Friday,2,A,Present,07:28,15:22,RFID,A57674E9DC06,0
ATT0003432,STU00750,2025-07-04,Friday,1,A,Present,07:42,14:00,RFID,3D181BE0B0EF,0
ATT0003433,STU00751,2025-07-04,Friday,10,A,Present,07:29,14:42,Biometric,,1
ATT0003434,STU00753,2025-07-04,Friday,5,B,Present,07:12,14:41,RFID,521966C959C7,1
ATT0003435,STU00754,2025-07-04,Friday,4,B,Present,07:35,13:34,Biometric,,0
ATT0003436,STU00755,2025-07-04,Friday,6,B,Present,07:33,14:20,Biometric,,0
ATT0003437,STU00756,2025-07-04,Friday,8,C,Present,07:43,15:12,RFID,BDC2E80D18C8,0
ATT0003438,STU00757,2025-07-04,Friday,9,D,Absent,,,,,0
ATT0003439,STU00758,2025-07-04,Friday,8,A,Present,07:39,14:46,RFID,2FDFCAB1D947,0
ATT0003440,STU00759,2025-07-04,Friday,5,B,Present,07:16,14:28,Biometric,,0
ATT0003441,STU00760,2025-07-04,Friday,9,C,Present,07:22,14:34,Biometric,,0
ATT0003442,STU00761,2025-07-04,Friday,9,B,Present,07:43,13:28,RFID,AF110B4AD89D,1
ATT0003443,STU00762,2025-07-04,Friday,9,A,Present,07:27,15:13,Face Recognition,,0
ATT0003444,STU00763,2025-07-04,Friday,2,C,Present,07:40,15:34,Biometric,,0
ATT0003445,STU00764,2025-07-04,Friday,11,C,Present,07:36,15:47,RFID,3A1D472DE13E,0
ATT0003446,STU00765,2025-07-04,Friday,7,B,Present,07:40,14:19,Face Recognition,,0
ATT0003447,STU00766,2025-07-04,Friday,10,D,Present,07:13,13:05,Biometric,,0
ATT0003448,STU00767,2025-07-04,Friday,9,A,Present,07:30,13:57,Biometric,,0
ATT0003449,STU00768,2025-07-04,Friday,7,B,Medical Leave,,,,,0
ATT0003450,STU00769,2025-07-04,Friday,3,C,Present,07:11,13:42,RFID,77AE5A1A2992,0
ATT0003451,STU00770,2025-07-04,Friday,7,C,Present,07:30,14:19,RFID,DC1DA33A0402,0
ATT0003452,STU00771,2025-07-04,Friday,10,A,Authorized Leave,,,,,0
ATT0003453,STU00773,2025-07-04,Friday,12,D,Present,07:29,15:23,Biometric,,0
ATT0003454,STU00774,2025-07-04,Friday,4,A,Absent,,,,,0
ATT0003455,STU00775,2025-07-04,Friday,1,A,Present,07:33,13:40,RFID,27B9CB2B4711,0
ATT0003456,STU00776,2025-07-04,Friday,3,A,Late,08:16,13:28,Face Recognition,,0
ATT0003457,STU00777,2025-07-04,Friday,3,A,Present,07:43,13:22,Biometric,,0
ATT0003458,STU00778,2025-07-04,Friday,3,B,Present,07:20,15:16,RFID,58DC90C9D2BB,0
ATT0003459,STU00779,2025-07-04,Friday,9,D,Present,07:22,14:44,Biometric,,0
ATT0003460,STU00780,2025-07-04,Friday,8,C,Absent,,,,,0
ATT0003461,STU00781,2025-07-04,Friday,7,B,Late,08:03,14:11,Face Recognition,,0
ATT0003462,STU00782,2025-07-04,Friday,10,A,Present,07:23,14:38,RFID,FBAB60575905,0
ATT0003463,STU00783,2025-07-04,Friday,10,A,Present,07:22,15:03,RFID,28A18B8ABF5D,0
ATT0003464,STU00784,2025-07-04,Friday,9,A,Present,07:26,13:08,Biometric,,0
ATT0003465,STU00785,2025-07-04,Friday,10,C,Late,08:20,14:24,RFID,FE9259D45C9C,0
ATT0003466,STU00786,2025-07-04,Friday,1,C,Present,07:23,15:26,RFID,D4E47FF89E89,0
ATT0003467,STU00787,2025-07-04,Friday,2,C,Present,07:34,13:15,Biometric,,0
ATT0003468,STU00788,2025-07-04,Friday,12,B,Present,07:14,15:11,Biometric,,0
ATT0003469,STU00790,2025-07-04,Friday,3,B,Late,08:05,14:09,RFID,E75D24794FBE,0
ATT0003470,STU00791,2025-07-04,Friday,1,B,Present,07:15,15:46,RFID,03C68DA88769,0
ATT0003471,STU00792,2025-07-04,Friday,5,C,Present,07:16,15:12,Biometric,,0
ATT0003472,STU00793,2025-07-04,Friday,3,C,Present,07:26,15:19,Biometric,,0
ATT0003473,STU00795,2025-07-04,Friday,5,A,Present,07:13,13:52,Biometric,,0
ATT0003474,STU00796,2025-07-04,Friday,5,A,Present,07:28,13:56,RFID,FC538B7338D1,0
ATT0003475,STU00797,2025-07-04,Friday,1,B,Present,07:30,14:51,Face Recognition,,0
ATT0003476,STU00798,2025-07-04,Friday,8,C,Present,07:35,13:14,Biometric,,0
ATT0003477,STU00799,2025-07-04,Friday,2,B,Present,07:33,15:08,RFID,A55E0A120CFF,0
ATT0003478,STU00800,2025-07-04,Friday,1,C,Absent,,,,,0
ATT0003479,STU00801,2025-07-04,Friday,1,B,Present,07:42,14:26,Biometric,,0
ATT0003480,STU00802,2025-07-04,Friday,2,A,Authorized Leave,,,,,0
ATT0003481,STU00803,2025-07-04,Friday,2,A,Present,07:31,14:25,RFID,12166F1DB99A,0
ATT0003482,STU00804,2025-07-04,Friday,8,D,Late,08:24,13:35,RFID,D55465BC7B6E,0
ATT0003483,STU00805,2025-07-04,Friday,5,C,Present,07:38,14:37,Biometric,,0
ATT0003484,STU00806,2025-07-04,Friday,2,C,Present,07:32,14:45,Face Recognition,,0
ATT0003485,STU00807,2025-07-04,Friday,4,A,Present,07:22,13:29,Biometric,,0
ATT0003486,STU00808,2025-07-04,Friday,1,C,Present,07:18,14:00,Biometric,,0
ATT0003487,STU00809,2025-07-04,Friday,3,B,Present,07:29,14:01,RFID,7F746EF01565,0
ATT0003488,STU00810,2025-07-04,Friday,1,A,Present,07:10,15:53,RFID,381BE8040DF5,0
ATT0003489,STU00811,2025-07-04,Friday,1,B,Absent,,,,,0
ATT0003490,STU00812,2025-07-04,Friday,6,C,Present,07:12,14:34,Face Recognition,,0
ATT0003491,STU00813,2025-07-04,Friday,7,D,Present,07:41,15:45,Biometric,,0
ATT0003492,STU00814,2025-07-04,Friday,1,A,Present,07:20,13:16,RFID,A25BF8969E66,0
ATT0003493,STU00815,2025-07-04,Friday,3,A,Present,07:25,15:06,Face Recognition,,0
ATT0003494,STU00816,2025-07-04,Friday,3,C,Present,07:40,13:47,Face Recognition,,0
ATT0003495,STU00817,2025-07-04,Friday,4,A,Present,07:25,13:48,Biometric,,0
ATT0003496,STU00818,2025-07-04,Friday,5,B,Present,07:29,13:53,RFID,E4C7720D0769,0
ATT0003497,STU00819,2025-07-04,Friday,2,A,Present,07:45,13:52,RFID,5F741F422717,0
ATT0003498,STU00820,2025-07-04,Friday,9,B,Present,07:36,13:17,RFID,A126471A7428,0
ATT0003499,STU00821,2025-07-04,Friday,1,A,Present,07:28,14:08,RFID,434A28FD65CF,0
ATT0003500,STU00822,2025-07-04,Friday,11,B,Present,07:19,13:01,RFID,16B35E65B362,0
ATT0003501,STU00823,2025-07-04,Friday,7,B,Late,08:03,13:08,RFID,51FD36A60F93,0
ATT0003502,STU00824,2025-07-04,Friday,6,D,Present,07:20,15:10,RFID,BE4F8FD6DF1D,0
ATT0003503,STU00825,2025-07-04,Friday,7,A,Present,07:13,14:36,RFID,563BA27C5BC9,0
ATT0003504,STU00826,2025-07-04,Friday,3,A,Present,07:31,13:38,RFID,832103879747,0
ATT0003505,STU00827,2025-07-04,Friday,7,C,Present,07:41,13:37,RFID,CC6B2FA9A7C6,0
ATT0003506,STU00828,2025-07-04,Friday,12,B,Present,07:43,15:31,Biometric,,0
ATT0003507,STU00829,2025-07-04,Friday,7,B,Present,07:44,15:55,RFID,30332463CDDA,0
ATT0003508,STU00830,2025-07-04,Friday,4,B,Present,07:33,13:57,RFID,2D663E5B8A9E,0
ATT0003509,STU00831,2025-07-04,Friday,7,D,Present,07:10,13:38,RFID,F1847CD3391E,0
ATT0003510,STU00832,2025-07-04,Friday,12,D,Present,07:25,13:31,Face Recognition,,0
ATT0003511,STU00833,2025-07-04,Friday,3,C,Medical Leave,,,,,0
ATT0003512,STU00834,2025-07-04,Friday,12,C,Present,07:40,13:26,RFID,CE50AE51A1CC,0
ATT0003513,STU00835,2025-07-04,Friday,1,B,Present,07:22,15:09,RFID,5499BB493E7A,0
ATT0003514,STU00836,2025-07-04,Friday,12,B,Absent,,,,,0
ATT0003515,STU00837,2025-07-04,Friday,9,C,Present,07:38,13:34,Biometric,,0
ATT0003516,STU00838,2025-07-04,Friday,11,C,Present,07:29,15:09,RFID,1C3A5312A55E,0
ATT0003517,STU00839,2025-07-04,Friday,7,B,Present,07:20,13:33,Face Recognition,,0
ATT0003518,STU00840,2025-07-04,Friday,7,A,Present,07:15,14:11,Biometric,,0
ATT0003519,STU00841,2025-07-04,Friday,8,A,Present,07:11,14:43,RFID,D474E715BEC8,0
ATT0003520,STU00842,2025-07-04,Friday,7,D,Present,07:28,13:56,Biometric,,1
ATT0003521,STU00843,2025-07-04,Friday,3,A,Present,07:14,14:59,RFID,B77FF51E3D7E,0
ATT0003522,STU00844,2025-07-04,Friday,11,B,Present,07:19,14:24,RFID,20E643A697A6,0
ATT0003523,STU00845,2025-07-04,Friday,10,B,Present,07:24,13:57,Face Recognition,,0
ATT0003524,STU00846,2025-07-04,Friday,4,C,Present,07:12,13:44,Face Recognition,,0
ATT0003525,STU00847,2025-07-04,Friday,2,A,Present,07:22,14:17,RFID,315C6803F6AD,0
ATT0003526,STU00848,2025-07-04,Friday,2,C,Medical Leave,,,,,0
ATT0003527,STU00849,2025-07-04,Friday,11,C,Present,07:24,15:28,Biometric,,0
ATT0003528,STU00850,2025-07-04,Friday,10,B,Absent,,,,,0
ATT0003529,STU00851,2025-07-04,Friday,4,B,Present,07:11,13:37,Biometric,,0
ATT0003530,STU00852,2025-07-04,Friday,6,C,Present,07:45,15:22,RFID,9C560015A87F,0
ATT0003531,STU00854,2025-07-04,Friday,6,B,Present,07:21,14:08,RFID,078B36C6961F,0
ATT0003532,STU00855,2025-07-04,Friday,12,D,Late,08:15,13:35,RFID,6E70851107EE,0
ATT0003533,STU00856,2025-07-04,Friday,2,C,Present,07:45,14:32,Face Recognition,,0
ATT0003534,STU00857,2025-07-04,Friday,2,B,Present,07:39,15:40,Biometric,,0
ATT0003535,STU00858,2025-07-04,Friday,9,C,Present,07:16,13:47,RFID,C5AD6772A729,0
ATT0003536,STU00860,2025-07-04,Friday,3,B,Late,08:20,14:36,RFID,4A8B8130EE00,0
ATT0003537,STU00861,2025-07-04,Friday,1,C,Absent,,,,,0
ATT0003538,STU00863,2025-07-04,Friday,2,B,Authorized Leave,,,,,0
ATT0003539,STU00864,2025-07-04,Friday,6,D,Present,07:21,13:43,Biometric,,0
ATT0003540,STU00865,2025-07-04,Friday,8,A,Present,07:26,13:50,RFID,87795CBCD551,0
ATT0003541,STU00866,2025-07-04,Friday,3,A,Present,07:33,14:11,Biometric,,0
ATT0003542,STU00867,2025-07-04,Friday,4,C,Absent,,,,,0
ATT0003543,STU00868,2025-07-04,Friday,5,C,Present,07:38,15:32,RFID,1A6CCFAF013D,0
ATT0003544,STU00869,2025-07-04,Friday,8,B,Present,07:26,15:20,Biometric,,0
ATT0003545,STU00870,2025-07-04,Friday,5,A,Present,07:12,14:52,RFID,A103CA6196DF,0
ATT0003546,STU00871,2025-07-04,Friday,12,D,Medical Leave,,,,,0
ATT0003547,STU00872,2025-07-04,Friday,5,C,Present,07:22,13:01,RFID,59489CEA8710,0
ATT0003548,STU00873,2025-07-04,Friday,6,C,Present,07:24,14:40,RFID,890F5D51E522,0
ATT0003549,STU00874,2025-07-04,Friday,9,B,Absent,,,,,0
ATT0003550,STU00875,2025-07-04,Friday,11,C,Present,07:23,14:09,Face Recognition,,0
ATT0003551,STU00876,2025-07-04,Friday,6,C,Present,07:22,13:38,RFID,AD59599EDA89,0
ATT0003552,STU00877,2025-07-04,Friday,5,C,Present,07:36,15:58,RFID,8D67A68DC902,0
ATT0003553,STU00878,2025-07-04,Friday,4,B,Medical Leave,,,,,0
ATT0003554,STU00879,2025-07-04,Friday,4,B,Present,07:14,13:10,Face Recognition,,0
ATT0003555,STU00880,2025-07-04,Friday,8,C,Present,07:35,14:18,RFID,27A0D6CC48FA,0
ATT0003556,STU00881,2025-07-04,Friday,3,B,Present,07:37,15:42,RFID,AF0B9021FBBE,0
ATT0003557,STU00882,2025-07-04,Friday,12,B,Present,07:42,13:02,RFID,94236A78F7E4,0
ATT0003558,STU00883,2025-07-04,Friday,7,D,Present,07:11,13:47,RFID,EBEFECC90ACE,0
ATT0003559,STU00884,2025-07-04,Friday,10,A,Present,07:12,14:53,Face Recognition,,0
ATT0003560,STU00885,2025-07-04,Friday,10,C,Present,07:10,15:40,RFID,7805E7ED89C1,0
ATT0003561,STU00887,2025-07-04,Friday,2,A,Present,07:17,14:19,Biometric,,0
ATT0003562,STU00888,2025-07-04,Friday,12,D,Absent,,,,,0
ATT0003563,STU00889,2025-07-04,Friday,6,C,Present,07:14,15:49,Biometric,,0
ATT0003564,STU00890,2025-07-04,Friday,1,C,Present,07:22,15:53,Face Recognition,,0
ATT0003565,STU00891,2025-07-04,Friday,5,C,Absent,,,,,0
ATT0003566,STU00892,2025-07-04,Friday,12,B,Late,08:30,14:18,RFID,C3B227CA0F9C,0
ATT0003567,STU00893,2025-07-04,Friday,6,C,Late,08:14,13:42,Face Recognition,,0
ATT0003568,STU00894,2025-07-04,Friday,8,A,Absent,,,,,0
ATT0003569,STU00895,2025-07-04,Friday,12,B,Present,07:32,13:13,RFID,71FAFCFFBF2C,0
ATT0003570,STU00896,2025-07-04,Friday,7,A,Absent,,,,,0
ATT0003571,STU00897,2025-07-04,Friday,10,A,Present,07:12,13:49,RFID,49EBDC4948A9,0
ATT0003572,STU00898,2025-07-04,Friday,9,D,Absent,,,,,0
ATT0003573,STU00899,2025-07-04,Friday,12,C,Present,07:17,13:22,Face Recognition,,0
ATT0003574,STU00900,2025-07-04,Friday,8,C,Present,07:11,13:17,Biometric,,0
ATT0003575,STU00901,2025-07-04,Friday,1,A,Absent,,,,,0
ATT0003576,STU00902,2025-07-04,Friday,8,A,Present,07:14,13:34,RFID,BD19FD5788F7,0
ATT0003577,STU00903,2025-07-04,Friday,11,C,Present,07:31,13:58,Biometric,,0
ATT0003578,STU00904,2025-07-04,Friday,1,A,Present,07:40,14:13,Biometric,,0
ATT0003579,STU00905,2025-07-04,Friday,2,A,Present,07:26,14:06,Biometric,,0
ATT0003580,STU00907,2025-07-04,Friday,3,B,Late,08:08,15:55,RFID,4025B04C7DFF,0
ATT0003581,STU00908,2025-07-04,Friday,11,C,Absent,,,,,0
ATT0003582,STU00909,2025-07-04,Friday,10,A,Present,07:12,14:57,RFID,0BCE5CC91652,0
ATT0003583,STU00910,2025-07-04,Friday,4,B,Present,07:38,15:02,Biometric,,0
ATT0003584,STU00911,2025-07-04,Friday,3,B,Absent,,,,,0
ATT0003585,STU00912,2025-07-04,Friday,7,D,Present,07:21,13:35,Biometric,,0
ATT0003586,STU00913,2025-07-04,Friday,1,A,Present,07:12,14:43,Biometric,,0
ATT0003587,STU00914,2025-07-04,Friday,2,A,Present,07:24,14:02,RFID,BC07964B6752,1
ATT0003588,STU00916,2025-07-04,Friday,12,A,Medical Leave,,,,,0
ATT0003589,STU00918,2025-07-04,Friday,5,A,Present,07:25,15:06,Face Recognition,,0
ATT0003590,STU00919,2025-07-04,Friday,12,A,Present,07:27,13:51,Biometric,,0
ATT0003591,STU00920,2025-07-04,Friday,8,A,Present,07:17,15:55,Biometric,,0
ATT0003592,STU00921,2025-07-04,Friday,12,D,Absent,,,,,0
ATT0003593,STU00922,2025-07-04,Friday,3,B,Present,07:18,15:11,Biometric,,0
ATT0003594,STU00923,2025-07-04,Friday,8,B,Present,07:29,14:45,Biometric,,0
ATT0003595,STU00924,2025-07-04,Friday,2,C,Absent,,,,,0
ATT0003596,STU00925,2025-07-04,Friday,8,A,Present,07:26,14:45,RFID,BCAC1F8D5A05,0
ATT0003597,STU00926,2025-07-04,Friday,1,B,Present,07:35,15:11,RFID,CFEAE25B3B9F,0
ATT0003598,STU00927,2025-07-04,Friday,4,B,Present,07:37,14:53,RFID,C4060FB7ED2D,0
ATT0003599,STU00928,2025-07-04,Friday,11,B,Present,07:14,13:21,RFID,00DC2A3FF431,0
ATT0003600,STU00929,2025-07-04,Friday,10,D,Present,07:18,14:09,Face Recognition,,0
ATT0003601,STU00930,2025-07-04,Friday,7,B,Present,07:37,14:39,Biometric,,0
ATT0003602,STU00931,2025-07-04,Friday,3,B,Present,07:39,13:00,RFID,519A6DBC5EBA,0
ATT0003603,STU00932,2025-07-04,Friday,11,A,Present,07:18,13:32,Biometric,,0
ATT0003604,STU00933,2025-07-04,Friday,4,A,Present,07:32,15:55,Face Recognition,,1
ATT0003605,STU00934,2025-07-04,Friday,12,D,Present,07:32,13:03,Biometric,,0
ATT0003606,STU00935,2025-07-04,Friday,11,D,Present,07:37,15:24,Biometric,,0
ATT0003607,STU00936,2025-07-04,Friday,4,A,Present,07:38,13:37,Face Recognition,,0
ATT0003608,STU00937,2025-07-04,Friday,9,B,Present,07:18,14:03,Face Recognition,,0
ATT0003609,STU00938,2025-07-04,Friday,8,B,Present,07:36,14:49,RFID,34E9D6543B87,1
ATT0003610,STU00940,2025-07-04,Friday,5,A,Absent,,,,,0
ATT0003611,STU00941,2025-07-04,Friday,5,C,Present,07:25,15:36,RFID,420A35A871FF,0
ATT0003612,STU00943,2025-07-04,Friday,10,D,Present,07:40,14:13,Biometric,,0
ATT0003613,STU00944,2025-07-04,Friday,10,B,Present,07:43,13:13,Face Recognition,,0
ATT0003614,STU00946,2025-07-04,Friday,1,A,Late,08:12,15:25,Biometric,,0
ATT0003615,STU00947,2025-07-04,Friday,3,B,Present,07:10,14:22,RFID,1F75998C835A,0
ATT0003616,STU00948,2025-07-04,Friday,7,D,Present,07:12,13:43,Biometric,,0
ATT0003617,STU00949,2025-07-04,Friday,7,D,Present,07:12,15:11,RFID,417C9EDA229B,0
ATT0003618,STU00950,2025-07-04,Friday,1,C,Present,07:42,14:23,Face Recognition,,0
ATT0003619,STU00951,2025-07-04,Friday,5,A,Absent,,,,,0
ATT0003620,STU00952,2025-07-04,Friday,1,C,Present,07:28,13:16,RFID,DAB9B7DBCEF9,0
ATT0003621,STU00953,2025-07-04,Friday,10,A,Present,07:13,15:11,Biometric,,0
ATT0003622,STU00954,2025-07-04,Friday,6,B,Present,07:12,13:37,RFID,270FEC15436E,0
ATT0003623,STU00955,2025-07-04,Friday,5,C,Present,07:17,14:39,Face Recognition,,0
ATT0003624,STU00957,2025-07-04,Friday,11,B,Present,07:41,15:00,RFID,CB83EBCA2203,0
ATT0003625,STU00958,2025-07-04,Friday,5,A,Absent,,,,,0
ATT0003626,STU00959,2025-07-04,Friday,7,A,Present,07:15,14:27,RFID,E471A30EFB2B,0
ATT0003627,STU00960,2025-07-04,Friday,5,A,Present,07:12,14:21,Biometric,,0
ATT0003628,STU00961,2025-07-04,Friday,7,C,Present,07:16,14:22,Biometric,,0
ATT0003629,STU00962,2025-07-04,Friday,9,A,Present,07:18,15:20,RFID,FE9846E71806,0
ATT0003630,STU00963,2025-07-04,Friday,12,C,Present,07:45,13:37,RFID,63514FBB9C4C,0
ATT0003631,STU00964,2025-07-04,Friday,12,B,Present,07:28,14:54,RFID,7D19120C61DB,0
ATT0003632,STU00966,2025-07-04,Friday,12,D,Present,07:33,14:04,Face Recognition,,0
ATT0003633,STU00968,2025-07-04,Friday,7,D,Present,07:41,15:59,RFID,183623E8A028,0
ATT0003634,STU00969,2025-07-04,Friday,6,A,Present,07:16,14:34,RFID,A8F9BA44444A,0
ATT0003635,STU00970,2025-07-04,Friday,6,A,Absent,,,,,0
ATT0003636,STU00971,2025-07-04,Friday,8,C,Present,07:15,13:00,RFID,76724431BF72,0
ATT0003637,STU00972,2025-07-04,Friday,8,B,Present,07:10,13:16,Face Recognition,,0
ATT0003638,STU00973,2025-07-04,Friday,12,A,Late,08:21,15:01,Biometric,,0
ATT0003639,STU00974,2025-07-04,Friday,8,D,Present,07:43,14:07,Face Recognition,,0
ATT0003640,STU00975,2025-07-04,Friday,12,D,Present,07:11,14:16,RFID,51AA95D9FC0D,0
ATT0003641,STU00976,2025-07-04,Friday,2,A,Present,07:13,15:18,Biometric,,0
ATT0003642,STU00977,2025-07-04,Friday,3,C,Present,07:35,14:41,RFID,70D33A9B923B,0
ATT0003643,STU00978,2025-07-04,Friday,3,A,Present,07:39,14:08,RFID,91446015C5D0,0
ATT0003644,STU00979,2025-07-04,Friday,1,B,Present,07:27,13:10,Biometric,,0
ATT0003645,STU00980,2025-07-04,Friday,12,B,Present,07:21,14:54,Biometric,,0
ATT0003646,STU00981,2025-07-04,Friday,9,C,Present,07:31,13:45,Biometric,,0
ATT0003647,STU00982,2025-07-04,Friday,7,A,Present,07:44,14:57,RFID,85730EF87D2C,0
ATT0003648,STU00983,2025-07-04,Friday,4,B,Absent,,,,,0
ATT0003649,STU00984,2025-07-04,Friday,2,C,Present,07:22,14:17,RFID,F5205E3EB964,0
ATT0003650,STU00985,2025-07-04,Friday,12,B,Authorized Leave,,,,,0
ATT0003651,STU00986,2025-07-04,Friday,9,B,Present,07:21,14:35,RFID,15CF2AF56D34,0
ATT0003652,STU00987,2025-07-04,Friday,10,B,Present,07:29,13:46,Biometric,,0
ATT0003653,STU00988,2025-07-04,Friday,8,B,Present,07:38,14:49,Biometric,,0
ATT0003654,STU00989,2025-07-04,Friday,10,D,Present,07:13,14:21,RFID,9CB18F59D638,0
ATT0003655,STU00990,2025-07-04,Friday,2,B,Present,07:29,13:06,Biometric,,0
ATT0003656,STU00991,2025-07-04,Friday,3,C,Present,07:26,15:01,RFID,6C76D540A746,0
ATT0003657,STU00992,2025-07-04,Friday,1,A,Present,07:20,15:59,Biometric,,0
ATT0003658,STU00993,2025-07-04,Friday,5,A,Present,07:22,15:42,RFID,F326146B338F,0
ATT0003659,STU00994,2025-07-04,Friday,9,C,Present,07:20,14:31,RFID,B6C628BD7C64,0
ATT0003660,STU00995,2025-07-04,Friday,9,B,Present,07:43,14:02,RFID,DFF9016C4760,0
ATT0003661,STU00996,2025-07-04,Friday,5,A,Present,07:37,15:56,Biometric,,0
ATT0003662,STU00997,2025-07-04,Friday,11,A,Present,07:20,13:47,RFID,329EA003FA68,0
ATT0003663,STU00998,2025-07-04,Friday,1,B,Present,07:45,15:13,Biometric,,0
ATT0003664,STU00999,2025-07-04,Friday,7,D,Present,07:12,14:46,RFID,1B8E9F373FA9,0
ATT0003665,STU00001,2025-07-05,Saturday,5,A,Present,07:24,15:25,RFID,F10FFA7287C0,0
ATT0003666,STU00002,2025-07-05,Saturday,3,A,Present,07:22,14:24,Biometric,,0
ATT0003667,STU00003,2025-07-05,Saturday,11,C,Present,07:17,14:38,Biometric,,0
ATT0003668,STU00004,2025-07-05,Saturday,12,C,Absent,,,,,0
ATT0003669,STU00005,2025-07-05,Saturday,10,D,Medical Leave,,,,,0
ATT0003670,STU00006,2025-07-05,Saturday,9,A,Absent,,,,,0
ATT0003671,STU00007,2025-07-05,Saturday,7,C,Present,07:24,14:42,Face Recognition,,0
ATT0003672,STU00008,2025-07-05,Saturday,7,B,Present,07:11,15:51,Face Recognition,,0
ATT0003673,STU00009,2025-07-05,Saturday,9,A,Present,07:28,15:31,Biometric,,0
ATT0003674,STU00010,2025-07-05,Saturday,10,D,Present,07:14,15:45,Biometric,,0
ATT0003675,STU00011,2025-07-05,Saturday,2,A,Authorized Leave,,,,,0
ATT0003676,STU00012,2025-07-05,Saturday,9,B,Present,07:27,13:11,Biometric,,0
ATT0003677,STU00013,2025-07-05,Saturday,6,B,Present,07:26,13:32,RFID,A2CBC2EE16F0,0
ATT0003678,STU00014,2025-07-05,Saturday,12,B,Present,07:45,14:41,RFID,120A67EC3C9B,0
ATT0003679,STU00015,2025-07-05,Saturday,10,C,Absent,,,,,0
ATT0003680,STU00016,2025-07-05,Saturday,9,C,Present,07:11,14:14,Biometric,,0
